approach,model,trainAcc,valAcc,testAcc,trainFS,valFS,testFS,trainPPV,valPPV,testPPV,trainRec,valRec,testRec
approach5b,SVM_linear_1.500,0.324,0.328,0.828,0.098,0.099,0.181,0.065,0.066,0.166,0.200,0.200,0.200
approach5b,SVM_linear_2.000,0.325,0.324,0.828,0.098,0.098,0.181,0.065,0.065,0.166,0.200,0.200,0.200
approach5b,SVM_sigmoid_1.5,0.029,0.028,0.007,0.011,0.011,0.003,0.006,0.006,0.001,0.200,0.200,0.200
approach5b,SVM_sigmoid_2.0,0.028,0.030,0.007,0.011,0.012,0.003,0.006,0.006,0.001,0.200,0.200,0.200
approach5b,SVM_rbf_1.5,0.127,0.123,0.032,0.104,0.103,0.035,0.226,0.210,0.022,0.389,0.387,0.385
approach5b,SVM_rbf_2.0,0.139,0.143,0.068,0.134,0.136,0.056,0.415,0.413,0.179,0.388,0.389,0.366
approach5b,SVM_rbf_1.5,0.134,0.135,0.032,0.136,0.135,0.045,0.364,0.362,0.031,0.394,0.392,0.381
approach5b,SVM_rbf_2.0,0.465,0.466,0.069,0.456,0.451,0.180,0.672,0.666,0.207,0.629,0.627,0.474
