approach,model,trainAcc,valAcc,testAcc,trainFS,valFS,testFS,trainPPV,valPPV,testPPV,trainRec,valRec,testRec
approach0,"ANN_[4, 4]",0.852,0.850,0.906,0.813,0.813,0.694,0.868,0.867,0.698,0.785,0.785,0.763
approach0,"ANN_[2, 2]",0.765,0.765,0.851,0.682,0.680,0.587,0.760,0.756,0.554,0.650,0.648,0.659
approach0,"ANN_[16, 8]",0.928,0.919,0.949,0.906,0.894,0.793,0.937,0.922,0.761,0.882,0.870,0.842
approach0,ANN_[4],0.858,0.857,0.917,0.815,0.817,0.712,0.870,0.869,0.683,0.779,0.782,0.767
approach0,ANN_[8],0.885,0.876,0.913,0.853,0.838,0.703,0.881,0.865,0.653,0.833,0.819,0.809
approach0,ANN_[16],0.927,0.908,0.939,0.905,0.882,0.758,0.918,0.896,0.716,0.894,0.871,0.857
approach0,ANN_[32],0.953,0.931,0.948,0.939,0.914,0.789,0.947,0.924,0.741,0.931,0.906,0.879
approach0,ANN_[64],0.968,0.947,0.950,0.960,0.934,0.808,0.963,0.935,0.761,0.957,0.934,0.890
approach0,SVM_linear_1.500,0.796,0.788,0.806,0.760,0.750,0.569,0.755,0.745,0.522,0.775,0.764,0.759
approach0,SVM_linear_2.000,0.795,0.789,0.805,0.760,0.750,0.566,0.755,0.742,0.519,0.774,0.766,0.758
approach0,SVM_linear_1.500,0.795,0.789,0.802,0.759,0.752,0.565,0.753,0.746,0.519,0.774,0.770,0.756
approach0,SVM_linear_2.000,0.794,0.789,0.804,0.757,0.755,0.565,0.751,0.749,0.518,0.774,0.767,0.756
approach0,SVM_linear_1.500,0.795,0.789,0.805,0.759,0.754,0.568,0.754,0.749,0.521,0.774,0.769,0.760
approach0,SVM_linear_2.000,0.794,0.793,0.800,0.757,0.756,0.561,0.752,0.751,0.514,0.773,0.773,0.755
approach0,SVM_linear_1.500,0.795,0.788,0.805,0.759,0.748,0.566,0.755,0.744,0.521,0.775,0.764,0.755
approach0,SVM_linear_2.000,0.798,0.790,0.804,0.762,0.752,0.565,0.757,0.748,0.519,0.777,0.765,0.757
approach0,DT_3,0.721,0.719,0.870,0.549,0.545,0.525,0.601,0.600,0.527,0.530,0.528,0.530
approach0,DT_4,0.773,0.768,0.849,0.697,0.691,0.582,0.760,0.750,0.576,0.673,0.671,0.662
approach0,DT_5,0.833,0.832,0.895,0.778,0.777,0.653,0.827,0.828,0.642,0.753,0.753,0.742
approach0,DT_6,0.867,0.862,0.917,0.827,0.821,0.698,0.871,0.866,0.677,0.796,0.790,0.776
approach0,DT_7,0.885,0.876,0.923,0.852,0.841,0.728,0.897,0.881,0.697,0.823,0.813,0.799
approach0,DT_8,0.901,0.885,0.935,0.875,0.854,0.751,0.923,0.899,0.732,0.841,0.822,0.801
approach0,kNN_3_uniform,0.974,0.945,0.953,0.970,0.933,0.809,0.968,0.935,0.762,0.973,0.932,0.890
approach0,kNN_4_uniform,0.963,0.940,0.960,0.956,0.927,0.819,0.965,0.935,0.786,0.948,0.920,0.878
approach0,kNN_5_uniform,0.958,0.936,0.953,0.948,0.922,0.799,0.953,0.926,0.756,0.945,0.920,0.887
approach0,kNN_6_uniform,0.951,0.932,0.957,0.939,0.914,0.810,0.953,0.929,0.775,0.928,0.900,0.878
approach0,kNN_7_uniform,0.946,0.930,0.954,0.933,0.913,0.801,0.941,0.927,0.761,0.927,0.901,0.882
approach0,kNN_8_uniform,0.940,0.928,0.956,0.925,0.910,0.808,0.942,0.929,0.774,0.910,0.894,0.872
approach0,XGBoost0,1.000,0.978,0.976,1.000,0.975,0.892,1.000,0.977,0.887,1.000,0.972,0.897
approach0,"HardVoting: [ , ANN_[64]_0, kNN_3_uniform_1, kNN_4_uniform_2, kNN_5_uniform_3, kNN_6_uniform_4 ]",0.964,0.942,0.960,0.957,0.927,0.824,0.964,0.939,0.789,0.951,0.917,0.886
approach0,"SoftVoting: [ , ANN_[64]_0, kNN_3_uniform_1, kNN_4_uniform_2, kNN_5_uniform_3, kNN_6_uniform_4 ]",0.972,0.945,0.960,0.966,0.933,0.822,0.967,0.936,0.780,0.965,0.931,0.897
