approach,model,trainAcc,valAcc,testAcc,trainFS,valFS,testFS,trainPPV,valPPV,testPPV,trainRec,valRec,testRec
approach3_complete,ANN_[4],0.868,0.866,0.920,0.749,0.745,0.673,0.825,0.820,0.717,0.711,0.708,0.676
approach3_complete,ANN_[8],0.916,0.912,0.945,0.829,0.823,0.769,0.885,0.878,0.772,0.792,0.787,0.768
approach3_complete,ANN_[16],0.943,0.937,0.957,0.878,0.868,0.817,0.920,0.907,0.819,0.847,0.839,0.816
approach3_complete,ANN_[6],0.906,0.903,0.935,0.809,0.804,0.740,0.870,0.866,0.754,0.769,0.765,0.739
"approach3_complete,""ANN_[8, 8]"",0.929,0.925,0.960,0.852,0.845,0.801,0.898,0.891,0.835,0.820,0.813,0.774"
"approach3_complete,""ANN_[4, 4]"",0.886,0.883,0.920,0.754,0.748,0.710,0.832,0.827,0.697,0.719,0.713,0.733"
"approach3_complete,""ANN_[2, 2]"",0.843,0.841,0.916,0.638,0.637,0.594,0.689,0.688,0.604,0.616,0.615,0.585"
"approach3_complete,""ANN_[16, 8]"",0.951,0.944,0.958,0.894,0.883,0.815,0.928,0.915,0.796,0.869,0.859,0.848"
approach3_complete,SVM_sigmoid_1.5,0.238,0.238,0.412,0.106,0.106,0.131,0.114,0.116,0.168,0.208,0.208,0.165
approach3_complete,SVM_sigmoid_2.0,0.229,0.229,0.435,0.098,0.099,0.135,0.103,0.107,0.168,0.195,0.196,0.164
approach3_complete,SVM_rbf_1.5,0.346,0.345,0.205,0.365,0.365,0.258,0.482,0.482,0.386,0.668,0.667,0.662
approach3_complete,SVM_rbf_2.0,0.384,0.385,0.206,0.395,0.397,0.257,0.504,0.507,0.333,0.659,0.660,0.621
approach3_complete,SVM_rbf_1.5,0.429,0.428,0.174,0.460,0.459,0.290,0.576,0.576,0.412,0.772,0.771,0.753
approach3_complete,SVM_rbf_2.0,0.459,0.459,0.173,0.491,0.491,0.296,0.591,0.591,0.422,0.796,0.795,0.751
approach3_complete,DT_3,0.754,0.753,0.867,0.544,0.543,0.513,0.614,0.611,0.534,0.509,0.509,0.501
approach3_complete,DT_4,0.803,0.802,0.865,0.611,0.608,0.541,0.768,0.740,0.580,0.587,0.586,0.578
approach3_complete,DT_5,0.851,0.848,0.895,0.665,0.662,0.640,0.839,0.787,0.639,0.638,0.636,0.656
approach3_complete,DT_6,0.883,0.880,0.939,0.700,0.694,0.700,0.879,0.834,0.758,0.658,0.654,0.666
approach3_complete,DT_7,0.897,0.891,0.934,0.800,0.791,0.732,0.847,0.837,0.734,0.775,0.767,0.765
approach3_complete,DT_8,0.916,0.909,0.942,0.841,0.830,0.771,0.892,0.879,0.782,0.805,0.795,0.775
approach3_complete,kNN_4_uniform,0.976,0.968,0.977,0.944,0.927,0.881,0.975,0.951,0.894,0.919,0.907,0.870
approach3_complete,kNN_4_distance,1.000,0.988,0.970,1.000,0.981,0.866,1.000,0.968,0.840,1.000,0.996,0.897
approach3_complete,kNN_5_uniform,0.974,0.968,0.973,0.943,0.933,0.874,0.960,0.948,0.866,0.927,0.919,0.882
approach3_complete,kNN_5_distance,1.000,0.990,0.973,1.000,0.984,0.872,1.000,0.973,0.861,1.000,0.996,0.884
approach3_complete,kNN_6_uniform,0.972,0.963,0.974,0.939,0.920,0.876,0.963,0.949,0.870,0.918,0.895,0.881
approach3_complete,kNN_6_distance,1.000,0.990,0.973,1.000,0.984,0.872,1.000,0.973,0.859,1.000,0.996,0.885
"approach3_complete,""SoftVoting: [ , kNN_6_distance_0, kNN_5_distance_1, kNN_4_distance_2, kNN_5_uniform_3 ]"",1.000,0.990,0.973,1.000,0.984,0.872,1.000,0.973,0.862,1.000,0.996,0.884"
approach3_complete,XGBoost0,1.000,0.996,0.979,1.000,0.994,0.899,1.000,0.990,0.928,1.000,0.998,0.875
